course_code,day,slot_index,halls
COURSE_2271E57A6113,1,1,"L-10, L-7"
COURSE_24A18A5B3FF2,1,1,"AB-2-401, AB-2-403, AB-2-404"
COURSE_354408622855,1,1,AB-1-308
COURSE_6B4B9A851F21,1,1,AB-3-401
COURSE_A0EFB237A2A4,1,1,AB-1-108
COURSE_B2EED574D766,1,1,L-5
COURSE_B936E4CB244C,1,1,L-11
COURSE_BB7F370548AA,1,1,"AB-1-A1, AB-1-A2"
COURSE_07FFBA646CB9,1,2,L-11
COURSE_1330BF611256,1,2,L-9
COURSE_258D4B85BE0B,1,2,"L-10, L-6, L-7, L-8"
COURSE_342173B29394,1,2,"AB-1-A1, AB-1-A2"
COURSE_3A124DB43FF4,1,2,"AB-2-401, AB-2-402, AB-2-403, AB-2-404"
COURSE_62AD5B8ACE1A,1,2,AB-1-108
COURSE_8702F1EA55DA,1,2,AB-3-402
COURSE_C834FC623CA7,1,2,AB-3-401
COURSE_4DFDBD5A1EAB,2,1,AB-3-401
COURSE_5DCF966FA1E3,2,1,AB-3-402
COURSE_61C74758B507,2,1,L-3
COURSE_6C418F3F4ACC,2,1,"L-10, L-11, L-6, L-7, L-8"
COURSE_88A5BB2A9E50,2,1,"AB-2-401, AB-2-403, AB-2-404"
COURSE_D5957F457326,2,1,AB-2-402
COURSE_47E4DB4D9F6E,2,2,"AB-2-401, AB-2-402, AB-2-403, AB-2-404"
COURSE_500C8E8E485C,2,2,L-5
COURSE_64056FA06151,2,2,L-3
COURSE_80EAE885256A,2,2,"L-11, L-6, L-8"
COURSE_9057D894165E,2,2,L-7
COURSE_AC3C3967D4FC,2,2,AB-1-108
COURSE_D60A15E39D9C,2,2,AB-3-401
COURSE_DBC12C371F89,2,2,"L-10, L-9"
COURSE_190013BFF7C1,3,1,"AB-3-401, AB-3-402, AB-3-403"
COURSE_4F8DAE02A7A0,3,1,L-3
COURSE_90C1B7254FDD,3,1,L-10
COURSE_B9EED8153A7D,3,1,AB-1-108
COURSE_CE06967084F9,3,1,"AB-2-401, AB-2-403, AB-2-404"
COURSE_32D569186237,3,2,"AB-2-401, AB-2-403, AB-2-404"
COURSE_5D48D2E51549,3,2,AB-1-A2
COURSE_75BD3070F668,3,2,AB-1-A1
COURSE_78104A3E8A10,3,2,L-9
COURSE_9316CD4D881E,3,2,L-1
COURSE_9772A418992F,3,2,"AB-3-401, AB-3-402, AB-3-403"
COURSE_A9C3CE099531,3,2,"L-10, L-6, L-7, L-8"
COURSE_D83CCF67F12C,3,2,L-5
COURSE_E1A4EFE9B9B1,3,2,AB-2-402
